
============= BFIW Image Check Report =============
| Section    | Status          |
--------------------------------------
| 2          | ✔ Present       |
| 3          | ✔ Present       |
| 4          | ✔ Present       |
| 5          | ✔ Present       |
| 6          | ✔ Present       |
| 7          | ✔ Present       |
| 8          | ✔ Present       |
| 9          | ✔ Present       |
| 10         | ✔ Present       |
| 11         | ✔ Present       |
| 12         | ✔ Present       |
| 13         | ✔ Present       |
| 14         | ✔ Present       |
| 15         | ✔ Present       |
| 16         | ✔ Present       |
| 17         | ✔ Present       |
| 18         | ✔ Present       |
| 19         | ✔ Present       |
| 20         | ✔ Present       |
| 21         | ✔ Present       |
| 22         | ✔ Present       |
| 23         | ✔ Present       |
| 24         | ✔ Present       |
| 25         | ✔ Present       |
| 26         | ✔ Present       |
| 27         | ✔ Present       |
| 28         | ✔ Present       |
| 29         | ✔ Present       |
| 30         | ✔ Present       |
| 32         | ✔ Present       |
| 33         | ✔ Present       |
| 34         | ✔ Present       |
| 35         | ✔ Present       |
| 36         | ✔ Present       |
| 37         | ✔ Present       |
| 38         | ✔ Present       |
| 39         | ✔ Present       |
| 40         | ✔ Present       |
| 41         | ✔ Present       |
| 42         | ✔ Present       |
| 43         | ✔ Present       |
| 44         | ✔ Present       |
| 45         | ✔ Present       |
| 46         | ✔ Present       |
| 47         | ✔ Present       |
| 48         | ✔ Present       |
| 49         | ✔ Present       |
| 50         | ✔ Present       |
| 51         | ✔ Present       |
| 52         | ✔ Present       |
| 53         | ✔ Present       |
| 54         | ✔ Present       |
| 55         | ✔ Present       |
| 56         | ✔ Present       |
| 57         | ✔ Present       |
| 58         | ✔ Present       |
| 59         | ✔ Present       |
| 60         | ✔ Present       |
| 61         | ✔ Present       |
| 62         | ✔ Present       |
| 63         | ✔ Present       |
| 64         | ✔ Present       |
| 65         | ✔ Present       |
| 66         | ✔ Present       |
| 67         | ✔ Present       |
| 68         | ✔ Present       |
| 69         | ✔ Present       |
| 70         | ✔ Present       |
| 71         | ✔ Present       |
| 72         | ✔ Present       |
| 73         | ✔ Present       |
| 74         | ✔ Present       |
| 75         | ✔ Present       |
| 76         | ✔ Present       |
| 77         | ✔ Present       |
| 78         | ✔ Present       |
| 79         | ✔ Present       |
| 80         | ✔ Present       |
| 81         | ✔ Present       |
| 82         | ✔ Present       |
| 83         | ✔ Present       |
| 84         | ✔ Present       |
| 85         | ✔ Present       |
| 86         | ✔ Present       |
| 87         | ✔ Present       |
| 88         | ✔ Present       |
| 89         | ✔ Present       |
| 90         | ✔ Present       |
| 91         | ✔ Present       |
| 92         | ✔ Present       |
| 93         | ✔ Present       |
| 94         | ✔ Present       |
| 95         | ✔ Present       |
| 96         | ✔ Present       |
| 97         | ✔ Present       |
| 98         | ✔ Present       |
| 99         | ✔ Present       |
| 100        | ✔ Present       |
| 101        | ✔ Present       |
| 102        | ✔ Present       |
| 103        | ✔ Present       |
| 104        | ✔ Present       |
| 105        | ✔ Present       |
| 106        | ✔ Present       |
| 107        | ✔ Present       |
| 108        | ✔ Present       |
| 109        | ✔ Present       |
| 110        | ✔ Present       |
| 111        | ✔ Present       |
| 112        | ✔ Present       |
| 113        | ✔ Present       |
| 114        | ✔ Present       |
| 115        | ✔ Present       |
| 116        | ✔ Present       |
| 117        | ✔ Present       |
| 118        | ✔ Present       |
| 119        | ✔ Present       |
| 120        | ✔ Present       |
| 121        | ✔ Present       |
| 122        | ✔ Present       |
| 123        | ✔ Present       |
| 124        | ✔ Present       |
| 125        | ✔ Present       |
| 126        | ✔ Present       |
| 127        | ✔ Present       |
| 128        | ✔ Present       |
| 129        | ✔ Present       |
| 130        | ✔ Present       |
| 131        | ✔ Present       |
| 132        | ✔ Present       |
| 133        | ✔ Present       |
| 134        | ✔ Present       |
| 135        | ✔ Present       |
| 136        | ✔ Present       |
| 137        | ✔ Present       |
| 138        | ✔ Present       |
| 139        | ✔ Present       |
